region_1,country,coordinates
Vino da Tavola,Italy,
Custoza,Italy,"[45.3729347, 10.7962865]"
Contea di Sclafani,Italy,
Dolcetto di Diano d'Alba,Italy,"[44.64998809999999, 8.0271337]"
Nuragus di Cagliari,Italy,"[39.7772646, 9.0396465]"
Asolo Prosecco Superiore,Italy,"[45.79925859999999, 11.9141103]"
Venezia,Italy,"[45.4408474, 12.3155151]"
Provincia di Pavia,Italy,"[45.3218166, 8.8466236]"
Montepulciano d'Abruzzo Cerasuolo,Italy,"[41.87194, 12.56738]"
Colline Lucchesi,Italy,
Fara,Italy,
Lison-Pramaggiore,Italy,"[45.7793972, 12.735751]"
Lambrusco Salamino di Santa Croce,Italy,"[44.770838, 10.853483]"
Recioto della Valpolicella,Italy,"[45.5272368, 10.9403779]"
Passito di Noto,Italy,"[36.8924433, 15.0651945]"
Amarone della Valpolicella Valpantena,Italy,"[45.5333333, 11]"
Valtellina,Italy,"[46.1633869, 9.8447202]"
Abruzzo,Italy,"[42.1920119, 13.7289167]"
Montecarlo,Italy,"[43.8534454, 10.6657906]"
Contessa Entellina,Italy,"[37.7295385, 13.1833552]"
Moscato di Noto,Italy,"[36.8924433, 15.0651945]"
Diano d'Alba,Italy,"[44.64998809999999, 8.0271337]"
Controguerra,Italy,"[42.85042199999999, 13.8123653]"
Valli di Porto Pino,Italy,"[38.9636015, 8.5954553]"
Falanghina del Beneventano,Italy,"[41.1297613, 14.7826208]"
Falerio dei Colli Ascolani,Italy,"[41.87194, 12.56738]"
Erbaluce di Caluso,Italy,"[45.3053404, 7.888038799999999]"
Mamertino,Italy,"[38.0325358, 14.7726781]"
Civitella d'Agliano,Italy,
Breganze,Italy,"[45.708245, 11.5574545]"
Siracusa,Italy,"[37.0754739, 15.2865861]"
Ischia,Italy,"[40.7270164, 13.9028656]"
Carema,Italy,"[45.5826302, 7.8080102]"
Valpolicella Valpantena,Italy,"[45.6091569, 10.9755119]"
Prosecco di Valdobbiadene Superiore,Italy,"[45.877286, 12.034054]"
Colli Etruria Centrale,Italy,
Aglianico del Beneventano,Italy,"[41.1393381, 14.7737095]"
Barbera di Piemonte,Italy,"[45.0522366, 7.5153885]"
Erice,Italy,"[38.0380892, 12.5873511]"
Tuscany,Italy,"[43.7710513, 11.2486208]"
Nardò,Italy,"[40.1798489, 18.0331588]"
Donnici,Italy,"[39.2574868, 16.2853141]"
Dolcetto di Dogliani Superiore,Italy,"[44.5319723, 7.949748199999999]"
Lamezia,Italy,"[38.962912, 16.3092719]"
Trentino Superiore,Italy,"[46.0638342, 11.1294106]"
Grave del Friuli,Italy,
Vin Santo di Carmignano,Italy,"[43.8239285, 10.9953269]"
Ramandolo,Italy,"[46.2217443, 13.2616452]"
Garda,Italy,"[45.6049385, 10.6351414]"
Brindisi,Italy,"[40.6327278, 17.9417616]"
Casorzo,Italy,"[45.02123479999999, 8.3371719]"
Rosso di Cerignola,Italy,"[41.2656157, 15.8936429]"
Dolcetto d'Asti,Italy,"[44.9007652, 8.206431499999999]"
Sant' Agata dei Goti,Italy,"[41.0895812, 14.4998955]"
Monreale,Italy,"[38.0814986, 13.2889834]"
Monferrato Bianco,Italy,"[45.1042133, 8.377758199999999]"
Torgiano Rosso Riserva,Italy,"[43.0273158, 12.432391]"
Moscato di Pantelleria,Italy,"[36.785262, 11.9918779]"
Sardinia,Italy,"[40.1208752, 9.012892599999999]"
Colline Teramane,Italy,"[42.7111667, 13.9040993]"
Moscato di Trani,Italy,
Falanghina del Molise,Italy,"[41.908322, 15.1256303]"
Valpolicella Ripasso Valpantena,Italy,"[45.5333333, 11]"
Circeo,Italy,"[41.2381661, 13.0457514]"
Cirò Classico,Italy,"[39.3811686, 17.0673088]"
Bardolino Classico Superiore,Italy,"[45.5453076, 10.6914197]"
Valpolicella Ripasso Valpantena Superiore,Italy,"[45.5333333, 11]"
Sovana,Italy,"[42.6581356, 11.6455585]"
Vesuvio,Italy,"[40.82238299999999, 14.4289058]"
Dolcetto d'Alba Superiore,Italy,"[44.7009153, 8.0356911]"
San Martino della Battaglia,Italy,"[45.4379211, 10.6029836]"
Chianti Colli Pisani,Italy,
Primitivo del Tarantino,Italy,"[40.3580848, 17.3541554]"
Montello e Colli Asolani,Italy,"[45.6826558, 12.1620577]"
Nasco di Cagliari,Italy,"[39.2238411, 9.1216613]"
Montefalco,Italy,"[42.88929359999999, 12.6502843]"
Frascati,Italy,"[41.8085208, 12.6761041]"
Alta Valle della Greve,Italy,"[43.573772, 11.346905]"
Aglianico d'Irpinia,Italy,"[40.9110653, 14.8676586]"
Gutturnio Classico Superiore,Italy,"[41.87194, 12.56738]"
Strevi,Italy,"[44.7004186, 8.5234983]"
Cacc’e Mmitte di Lucera,Italy,"[41.87194, 12.56738]"
Catalanesca del Monte Somma,Italy,"[40.8333333, 14.4333333]"
San Gimignano,Italy,"[43.4676324, 11.0434909]"
Mitterberg,Italy,"[46.6995252, 12.3701097]"
Offida Rosso,Italy,"[42.9522857, 13.7269193]"
Todi,Italy,"[42.7819352, 12.4065686]"
Colli del Limbara,Italy,"[40.85, 9.1666667]"
Coda di Volpe d'Irpinia,Italy,
Squinzano,Italy,"[40.4349907, 18.0421742]"
Est! Est!! Est!!! di Montefiascone,Italy,"[42.533851, 12.041377]"
Del Veneto,Italy,"[45.76233329999999, 11.690976]"
Bardolino Superiore,Italy,"[45.4254081, 9.1408787]"
Paestum,Italy,"[40.4231513, 15.0071628]"
Navarra,Spain,"[42.6953909, -1.6760691]"
Ribera del Duero,Spain,"[41.6995677, -3.9271321]"
Rías Baixas,Spain,"[42.4270967, -8.814226399999999]"
Dominio de Valdepusa,Spain,"[39.8593468, -4.6121925]"
Rueda,Spain,"[41.4108743, -4.9597661]"
Vino de la Tierra de Castilla y León,Spain,"[41.59491, -4.575127]"
Montsant,Spain,"[41.292953, 0.7978029999999999]"
Cava,Spain,
Rioja,Spain,
Bierzo,Spain,"[42.59219239999999, -6.663812]"
Valencia,Spain,"[39.4699075, -0.3762881]"
Cariñena,Spain,"[41.3370805, -1.2241497]"
Vino de la Tierra de Castilla,Spain,
Priorat,Spain,"[41.23797829999999, 0.7913226999999999]"
Jumilla,Spain,"[38.4763532, -1.3221865]"
Penedès,Spain,"[41.3461265, 1.6979398]"
Valdeorras,Spain,"[42.3788608, -6.9638624]"
Bizkaiko Txakolina,Spain,"[42.873683, -2.652435]"
La Mancha,Spain,"[39.2795607, -3.097702]"
Uclés,Spain,"[39.9799887, -2.8633215]"
Jerez,Spain,"[36.6850064, -6.126074399999999]"
Alella,Spain,
Catalunya,Spain,"[41.5911589, 1.5208624]"
Ribeiro,Spain,"[42.875938, -8.1314663]"
Alicante,Spain,"[38.3459963, -0.4906855]"
Almansa,Spain,"[38.8702789, -1.0993366]"
Ribeira Sacra,Spain,"[42.3465529, -7.863258399999999]"
Getariako Txakolina,Spain,"[43.2939931, -2.1990542]"
Calatayud,Spain,"[41.3531678, -1.6468455]"
Vi de la Terra Illes Balears,Spain,"[39.3587759, 2.7356328]"
Toro,Spain,"[41.4540325, -5.414900299999999]"
Yecla,Spain,"[38.6122134, -1.110112]"
Empordà,Spain,"[42.2755267, 3.0175712]"
Campo de Borja,Spain,"[41.8311685, -1.443469]"
Spain,Spain,"[40.46366700000001, -3.74922]"
Terra Alta,Spain,
Valdepeñas,Spain,"[38.7605618, -3.3876655]"
Montilla-Moriles,Spain,"[37.5793753, -4.6545727]"
Málaga,Spain,"[36.7212737, -4.4213988]"
Vino de la Tierra Altiplano de Sierra Nevada,Spain,"[40.46366700000001, -3.74922]"
Costers del Segre,Spain,"[41.599156, 0.5812269999999999]"
Somontano,Spain,"[42.1177335, 0.03732009999999999]"
Tierra del Viños de Zamora,Spain,"[41.5034712, -5.7467879]"
Tarragona,Spain,"[41.1188827, 1.2444909]"
Conca de Barberà,Spain,"[41.4745038, 1.2506002]"
Catalonia,Spain,"[41.5911589, 1.5208624]"
Vino de la Tierra Contraviesa Alpujarra,Spain,
Pla de Bages,Spain,
Sierra de Salamanca,Spain,"[40.9701039, -5.663539699999999]"
Pago de Arínzano,Spain,"[42.630641, -1.993364]"
Utiel-Requena,Spain,"[39.5694342, -1.203722]"
Tierra de León,Spain,"[42.2932478, -5.5165751]"
Tierra de Castilla,Spain,
Bullas,Spain,"[38.0433449, -1.6736397]"
Ribera del Júcar,Spain,"[39.2286419, -1.443469]"
Manchuela,Spain,"[39.5373674, -1.5919511]"
Madrid,Spain,"[40.4167754, -3.7037902]"
Vino de Mesa,Spain,
Monterrei,Spain,"[41.9470179, -7.449239599999999]"
Cigales,Spain,"[41.7580541, -4.698011699999999]"
Extremadura,Spain,"[39.4937392, -6.0679194]"
Vinos de Madrid,Spain,"[25.7775423, -80.26371429999999]"
Emporadà-Costa Brava,Spain,"[42.2755267, 3.0175712]"
Ribera del Guadiana,Spain,
Toledo,Spain,
Vi de la Terra Mallorca,Spain,"[39.4645635, 3.1355346]"
Vino de la Tierra del Bajo Aragón,Spain,"[40.89924999999999, -0.364891]"
Manzanilla-Sanlúcar de Barrameda,Spain,"[36.7754065, -6.342858199999999]"
Castilla La Mancha,Spain,"[39.2795607, -3.097702]"
Lanzarote,Spain,"[29.0468535, -13.5899733]"
Vino de la Tierra de Cádiz,Spain,
Vino de la Tierra de Zamora,Spain,"[41.35375, -5.768549999999999]"
Vino de la Tierra de Castelló,Spain,"[40.162979, -0.109724]"
Mentrida,Spain,"[40.2394809, -4.1936206]"
Arribes del Duero,Spain,"[41.1947261, -6.556988199999999]"
Finca Élez,Spain,"[36.7595347, -4.0639026]"
Vino da Mesa de Toledo,Spain,"[39.8628316, -4.027323099999999]"
Vino de la Tierra Ribera del Gállego-Cinco Villas,Spain,"[41.9111325, -0.8008934]"
Vino de Calidad de Tierras de León,Spain,"[42.5987041, -5.5670839]"
Sardon de Duero,Spain,"[41.6058666, -4.4284985]"
Vino de Calidad de Valtiendas,Spain,"[41.4781804, -3.9174139]"
Willamette Valley,US,"[44.942554, -122.9337615]"
Lake Michigan Shore,US,"[43.8348105, -85.0720293]"
Napa Valley,US,"[38.5024689, -122.2653887]"
Alexander Valley,US,"[38.65649, -122.786907]"
Central Coast,US,"[35.3208415, 151.2335592]"
Virginia,US,"[37.4315734, -78.6568942]"
Oregon,US,"[43.8041334, -120.5542012]"
Paso Robles,US,"[35.6368759, -120.6545022]"
Sonoma Coast,US,"[38.5779555, -122.9888319]"
Clarksburg,US,"[39.2806451, -80.34453409999999]"
Dry Creek Valley,US,"[38.61054, -122.873166]"
Sonoma Valley,US,"[38.291859, -122.4580356]"
McMinnville,US,"[45.21011619999999, -123.1987163]"
Lake County,US,"[42.3689363, -87.8271534]"
Monticello,US,"[38.0086043, -78.4531994]"
North Coast,US,"[37.09024, -95.712891]"
Columbia Valley (WA),US,"[47.4523058, -120.822886]"
Santa Ynez Valley,US,"[34.5841542, -120.0973685]"
California,US,"[36.778261, -119.4179324]"
Howell Mountain,US,"[38.58139, -122.45]"
Calistoga,US,"[38.5787965, -122.5797054]"
Eola-Amity Hills,US,"[45.1312282, -123.1637138]"
Ancient Lakes,US,"[47.1508517, -119.9631178]"
Knights Valley,US,"[34.7580157, -82.2429405]"
Sonoma County,US,"[38.5779555, -122.9888319]"
Finger Lakes,US,"[42.7238165, -76.9297247]"
Santa Clara Valley,US,"[37.3336581, -121.8907041]"
Yountville,US,"[38.40157809999999, -122.3608105]"
Rockpile,US,"[38.515057, -90.007932]"
Santa Lucia Highlands,US,"[36.4307709, -121.4203754]"
Spring Mountain District,US,"[36.1257156, -115.242169]"
Monterey,US,"[36.6002378, -121.8946761]"
Carmel Valley,US,"[36.4799024, -121.7327931]"
Santa Cruz Mountains,US,"[36.9741171, -122.0307963]"
Edna Valley,US,"[35.2168996, -120.6077553]"
Russian River Valley,US,"[38.483083, -122.80327]"
Arroyo Seco,US,"[36.2316817, -121.485235]"
Anderson Valley,US,"[34.53821, -82.7495326]"
Nevada County,US,"[39.1346666, -121.1710389]"
Cayuga Lake,US,"[42.6776693, -76.6990172]"
Santa Barbara County,US,"[34.4208321, -119.6982057]"
Diamond Mountain District,US,"[38.54334530000001, -122.578433]"
Mendocino,US,"[39.3076744, -123.7994591]"
Sonoma Mountain,US,"[38.3229698, -122.5749837]"
Amador County,US,"[38.3488921, -120.7740931]"
St. Helena,US,"[38.5052429, -122.4703868]"
Cole Ranch,US,"[33.0460986, -117.2332472]"
Santa Maria Valley,US,"[34.9530337, -120.4357191]"
Dundee Hills,US,"[45.27958539999999, -123.0095137]"
Arroyo Grande Valley,US,"[35.1072335, -120.5815117]"
Mendocino County,US,"[39.5500194, -123.438353]"
Rutherford,US,"[40.826489, -74.10680909999999]"
Walla Walla Valley (WA),US,"[46.0655953, -118.3387429]"
New York,US,"[40.7127753, -74.0059728]"
North Fork of Long Island,US,"[40.97132149999999, -72.6261244]"
Wahluke Slope,US,"[46.7643025, -119.6166988]"
Templeton Gap District,US,"[35.5496939, -120.7060049]"
Snipes Mountain,US,"[46.3285409, -120.0082522]"
Long Island,US,"[40.789142, -73.13496099999999]"
Carneros,US,"[38.2554723, -122.3349422]"
Ribbon Ridge,US,
Red Mountain,US,
Sta. Rita Hills,US,"[34.6422431, -120.438894]"
El Dorado,US,
Suisun Valley,US,"[38.2382474, -122.040244]"
Lodi,US,"[38.1341477, -121.2722194]"
Yakima Valley,US,"[46.6020711, -120.5058987]"
Monterey County,US,"[36.3136201, -121.3541631]"
Chiles Valley,US,"[35.9881727, -114.9813892]"
Calaveras County,US,"[38.1960477, -120.6805037]"
Chehalem Mountains,US,"[45.3553952, -122.9462118]"
Horse Heaven Hills,US,"[46.1778416, -119.1521533]"
Umpqua Valley,US,"[43.216505, -123.3417381]"
Ballard Canyon,US,"[34.6354195, -120.1479918]"
Green Valley,US,"[31.8542511, -110.9937019]"
Sierra Foothills,US,"[33.3241157, -111.9875757]"
Yolo County,US,"[38.7646021, -121.9017954]"
Washington,US,"[38.9071923, -77.0368707]"
Columbia Gorge (WA),US,"[45.7247667, -121.5718789]"
Oak Knoll District,US,"[38.35833, -122.33389]"
Rogue Valley,US,"[42.3076371, -122.8388509]"
Northern Sonoma,US,"[38.291859, -122.4580356]"
Idaho,US,"[44.0682019, -114.7420408]"
Mokelumne River,US,"[38.1145286, -121.5741027]"
Los Carneros,US,"[34.4271343, -119.8597423]"
Mount Veeder,US,"[38.3689984, -122.4120862]"
Livermore Valley,US,"[37.6818745, -121.7680088]"
Texas,US,"[31.9685988, -99.9018131]"
Temecula Valley,US,"[33.4936391, -117.1483648]"
Mendocino Ridge,US,"[39.5500194, -123.438353]"
Texas High Plains,US,
Shenandoah Valley (CA),US,"[38.5348836, -120.792458]"
Yorkville Highlands,US,"[38.875393, -123.108287]"
Happy Canyon of Santa Barbara,US,"[34.4206415, -119.6994278]"
Walla Walla Valley (OR),US,"[45.9391338, -118.3974502]"
Seneca Lake,US,"[42.6918497, -76.920192]"
Naches Heights,US,"[46.6536279, -120.6541983]"
Hudson River Region,US,"[42.737395, -73.68724]"
Napa-Sonoma,US,"[38.291859, -122.4580356]"
Bennett Valley,US,"[38.4035096, -122.6412853]"
Paso Robles Willow Creek District,US,"[35.5812742, -120.7849327]"
Contra Costa County,US,"[37.8534093, -121.9017954]"
Michigan,US,"[44.3148443, -85.60236429999999]"
Stags Leap District,US,"[39.5691329, -105.2438476]"
Fair Play,US,"[39.2247125, -106.0019618]"
Pennsylvania,US,"[41.2033216, -77.1945247]"
Southern Oregon,US,"[42.7976791, -122.4332992]"
Old Mission Peninsula,US,"[44.8839492, -85.50972259999999]"
Dunnigan Hills,US,"[38.794346, -121.9552466]"
Coombsville,US,"[38.2971707, -122.2864459]"
Oakville,US,"[43.467517, -79.6876659]"
Middleburg,US,"[38.9687211, -77.7355496]"
Applegate Valley,US,"[37.35579, -79.9044815]"
San Benito County,US,"[36.5760883, -120.9876321]"
San Luis Obispo County,US,"[35.3102296, -120.4357631]"
Leelanau Peninsula,US,
Outer Coastal Plain,US,"[37.09024, -95.712891]"
Sonoma-Napa,US,"[38.2137007, -122.2539945]"
Santa Barbara,US,"[34.4208305, -119.6981901]"
Virginia's Eastern Shore,US,"[37.7116126, -75.74775369999999]"
Columbia Valley (OR),US,"[40.2626584, -111.680593]"
Red Hills Lake County,US,"[39.1303853, -122.8774692]"
South Coast,US,"[31.9319891, -81.32621999999999]"
Lake Erie,US,
Potter Valley,US,"[39.3221089, -123.113059]"
Sonoma County-Napa County,US,"[38.291859, -122.4580356]"
Chalk Hill,US,"[38.6037982, -122.7772125]"
New Jersey,US,"[40.0583238, -74.4056612]"
Redwood Valley,US,"[39.2652491, -123.2041429]"
Cucamonga Valley,US,"[34.1120955, -117.5776336]"
Fiddletown,US,"[38.5039105, -120.7565689]"
Augusta,US,"[33.4734978, -82.0105148]"
New Mexico,US,"[34.5199402, -105.8700901]"
Nevada,US,"[38.8026097, -116.419389]"
Paicines,US,"[36.7289127, -121.2788708]"
Placer County,US,"[39.0915751, -120.8039474]"
Napa County-Sonoma County,US,"[38.5024689, -122.2653887]"
Solano County,US,"[38.3104969, -121.9017954]"
Adelaida District,US,
Chalone,US,"[36.5168913, -121.2812848]"
Columbia Gorge (OR),US,
Lake Chelan,US,
Rattlesnake Hills,US,
El Dorado County,US,
Napa County,US,"[38.5024689, -122.2653887]"
Marin County,US,
Fort Ross-Seaview,US,"[38.51392510000001, -123.2455683]"
Mt. Harlan,US,"[37.7115295, -97.3957301]"
Cienega Valley,US,"[33.6969542, -117.719018]"
Temecula,US,"[33.4936391, -117.1483648]"
Grand Valley,US,"[42.9633599, -85.6680863]"
Colorado,US,"[39.5500507, -105.7820674]"
Cochise County,US,"[31.82845799999999, -109.949686]"
Pine Mountain-Cloverdale Peak,US,
Big Valley District-Lake County,US,"[38.9970418, -122.8700498]"
San Antonio Valley,US,"[29.4924424, -98.61057029999999]"
Sierra Pelona Valley,US,
San Luis Obispo,US,"[35.2827524, -120.6596156]"
Atlas Peak,US,
High Valley,US,
San Bernabe,US,
Ben Lomond Mountain,US,
Missouri,US,"[37.9642529, -91.8318334]"
Southeastern New England,US,
Grand River Valley,US,
Sonoita,US,"[31.6795337, -110.6553594]"
"The Hamptons, Long Island",US,
Shenandoah Valley,US,"[38.4834568, -78.84974849999999]"
Santa Barbara-Monterey,US,"[36.4397212, -121.3183599]"
Napa-Carneros,US,"[38.2549927, -122.3405273]"
Illinois,US,"[40.6331249, -89.3985283]"
Malibu-Newton Canyon,US,"[34.0809642, -118.8021153]"
Mount Harlan,US,
Sonoma-Napa-Mendocino,US,
San Francisco Bay,US,"[37.6909682, -122.3107517]"
Chelan County,US,
California Other,US,
Saddle Rock-Malibu,US,
Moon Mountain District Sonoma County,US,
Humboldt County,US,"[40.7450055, -123.8695086]"
Napa-Sonoma-Marin,US,
Santa Clara County,US,
Puget Sound,US,"[47.7236535, -122.4713352]"
Solano County Green Valley,US,"[38.2529705, -122.1621917]"
California-Oregon,US,"[39.59388999999999, -121.52833]"
Clear Lake,US,
Guenoc Valley,US,"[39.06558, -122.721477]"
Napa County-Sonoma County-San Joaquin County,US,"[38.2172561, -122.2730219]"
Carneros-Napa Valley,US,
Swan Creek,US,
El Pomar District,US,
Tuolumne County,US,
Santa Margarita Ranch,US,
Malibu Coast,US,"[34.0259216, -118.7797571]"
McDowell Valley,US,"[38.974959, -123.0532221]"
Yadkin Valley,US,
Iowa,US,
Elkton Oregon,US,"[43.6376174, -123.568152]"
Napa-Mendocino-Sonoma-Marin,US,
Monterey-Santa Barbara,US,"[36.4397212, -121.3183599]"
Sonoma County-Monterey County-Napa County,US,"[38.5779555, -122.9888319]"
Sonoma-Mendocino,US,"[38.4593019, -122.7171838]"
Alta Mesa,US,"[37.398829, -122.1346859]"
Kelsey Bench-Lake County,US,"[39.08396440000001, -122.8084496]"
San Lucas,US,"[36.1288547, -121.0204672]"
Sonoma County-Lake County,US,"[38.4538358, -122.6489623]"
Ohio,US,"[40.4172871, -82.90712300000001]"
Paso Robles Highlands District,US,"[35.6145822, -120.6783885]"
Sonoma County-Monterey County,US,"[36.6061215, -121.8416035]"
Vermont,US,"[44.5588028, -72.57784149999999]"
Ventura County,US,"[34.3704884, -119.1390642]"
Mendocino-Lake,US,"[39.2173837, -123.171699]"
Monterey-Santa Cruz,US,"[36.9578731, -122.0301661]"
North Carolina,US,"[35.7595731, -79.01929969999999]"
York Mountain,US,"[42.8710697, -77.8856212]"
Columbia Valley-Walla Walla Valley,US,"[46.0645809, -118.3430208]"
Madera,US,"[38.945761, -94.74409]"
Sonoma,US,"[38.291859, -122.4580356]"
Kentucky,US,"[37.8393332, -84.2700179]"
San Francisco Bay-Livermore Valley,US,"[37.6818745, -121.7680088]"
Clements Hills,US,"[38.3708969, -96.5420003]"
Sonoma County-San Joaquin County,US,"[37.9044561, -121.2420154]"
Western Connecticut Highlands,US,"[41.2531719, -72.96608499999999]"
River Junction,US,"[43.02297, -91.17746]"
Monterey-Santa Barbara-Sonoma,US,"[38.4875235, -122.4493985]"
Columbia Valley,US,"[38.860858, -104.8694312]"
Lake County-Mendocino County,US,"[39.2173837, -123.171699]"
Oregon Other,US,"[45.34387, -122.488255]"
Sonoma County-Monterey County-Santa Barbara County,US,"[38.5779555, -122.9888319]"
Yamhill County,US,"[45.1771983, -123.2395303]"
Mendocino-Lake County-Napa,US,"[39.08396440000001, -122.8084496]"
Monterey-San Luis Obispo-Santa Barbara,US,"[35.2901913, -120.6493573]"
Tehama County,US,"[40.0982197, -122.174605]"
Ramona Valley,US,"[33.3568963, -117.0720282]"
Napa County-Lake County,US,"[38.6097407, -122.254045]"
Arizona,US,
Napa,US,"[36.7567292, -95.9373265]"
Central Valley,US,"[40.19987769999999, -122.2011075]"
Napa-Monterey-Mendocino,US,"[36.6034305, -121.8627696]"
Lime Kiln Valley,US,"[48.0708444, -117.7244198]"
Amador-Napa,US,"[38.113597, -122.243246]"
Polk County,US,"[27.8617347, -81.6911559]"
Monterey County-Napa County-Sonoma County,US,"[38.5024689, -122.2653887]"
Antelope Valley of the California High Desert,US,"[34.7513712, -118.2522977]"
Napa Valley-Paso Robles,US,"[35.3649881, -120.8477098]"
Lake County-Sonoma County,US,"[38.4494698, -122.6505126]"
Mendocino-Amador,US,
Napa-Amador,US,"[38.3794419, -120.802086]"
Napa County-Sonoma County-Lake County,US,"[39.08396440000001, -122.8084496]"
Santa Cruz County,US,"[37.0453988, -121.9579578]"
Sonoma-Santa Barbara-Mendocino,US,"[38.291859, -122.4580356]"
Napa-Mendocino-Sonoma,US,"[38.5024689, -122.2653887]"
Massachusetts,US,"[42.4072107, -71.3824374]"
Lake-Sonoma-Napa,US,"[38.5471475, -122.5103454]"
Isle St. George,US,"[41.72171489999999, -82.82018719999999]"
Texoma,US,"[33.7998245, -96.57833869999999]"
Capay Valley,US,"[38.70823490000001, -122.0507301]"
Sonoma-Napa-Monterey,US,"[38.291859, -122.4580356]"
Hawaii,US,"[19.8967662, -155.5827818]"
Monterey County-Napa County,US,"[38.176892, -122.2664335]"
San Diego County,US,"[32.7157305, -117.1610966]"
Niagara Escarpment,US,"[44.7180522, -87.5950953]"
Sonoma-Napa-Lake,US,"[38.759642, -123.0915605]"
Sonoma County-Santa Barbara County,US,"[38.3328581, -122.6992783]"
